,Actual Values,Predicted Values,Gender,Age Group,Year In,Month In,Year Out,Month Out,Country_Code
327081,0,0,1,2,2019,5,2019,5,5
10212,0,0,2,7,2017,5,2017,5,2
254300,1,1,2,3,2019,3,2019,3,5
433126,0,0,1,7,2019,8,2019,8,7
569764,0,0,1,7,2019,9,2019,9,65
490194,0,0,2,7,2017,4,2017,4,21
552339,0,0,1,5,2019,3,2019,3,7
176952,1,1,1,7,2018,12,2018,12,2
80539,1,1,1,3,2018,4,2018,4,2
288229,1,0,1,1,2019,4,2019,4,2
405744,0,0,1,7,2019,7,2019,7,9
244391,0,1,2,6,2019,3,2019,3,2
337857,1,1,1,5,2019,5,2019,5,1
46875,0,0,1,5,2017,12,2017,12,5
534571,0,1,2,2,2018,8,2018,8,1
22922,0,0,1,2,2017,8,2017,8,2
39916,0,0,1,7,2017,11,2017,11,5
421050,1,0,2,4,2019,7,2019,7,2
140561,0,0,2,7,2018,10,2018,10,1
155310,1,1,1,3,2018,11,2018,11,2
470817,1,1,1,2,2019,11,2019,11,19
29892,0,0,1,7,2017,9,2017,9,5
221905,1,1,2,6,2019,2,2019,2,2
322066,1,0,2,3,2019,5,2019,5,5
345681,0,1,1,7,2019,5,2019,5,2
